,Unnamed: 0,cik_str,ticker,title
2430,4860,1814974,BBXIA,"BBX Capital, Inc."
2431,4861,1426800,ASMB,"ASSEMBLY BIOSCIENCES, INC."
2432,4862,1512717,THTX,Theratechnologies Inc.
2433,4863,1476573,AIRRF,Aurion Resources Ltd.
2434,4864,1682241,MATH,Metalpha Technology Holding Ltd
2435,4865,1718405,HYMC,HYCROFT MINING HOLDING CORP
2436,4866,846671,VLT,Invesco High Income Trust II
2437,4867,1638097,ENTX,Entera Bio Ltd.
2438,4868,1676047,NTRB,NutriBand Inc.
2439,4869,1899658,WLGS,"WANG & LEE GROUP, Inc."
2440,4870,1782037,YGMZ,MingZhu Logistics Holdings Ltd
2441,4871,1754820,DM,"Desktop Metal, Inc."
2442,4872,1557523,PGZ,Principal Real Estate Income Fund
2443,4873,2050501,BLUW,Blue Water Acquisition Corp. III
2444,4874,1945422,OAKU,Oak Woods Acquisition Corp
2445,4875,1900679,TETEF,Technology & Telecommunication Acquisition Corp
2446,4876,1417892,SOL,Emeren Group Ltd
2447,4877,1620749,PHCI,Panamera Holdings Corp
2448,4878,1870143,RCFAF,Perception Capital Corp. IV
2449,4879,1299969,CHCI,"Comstock Holding Companies, Inc."
2450,4880,894871,AREN,"Arena Group Holdings, Inc."
2451,4881,1758766,STEM,"STEM, INC."
2452,4882,1230058,KANP,KAANAPALI LAND LLC
2453,4883,1913749,GMM,Global Mofy AI Ltd
2454,4884,1779372,BEAT,"HeartBeam, Inc."
2455,4885,1808665,ASRT,"Assertio Holdings, Inc."
2456,4886,720500,ASYS,AMTECH SYSTEMS INC
2457,4887,2012726,FDSB,"Fifth District Bancorp, Inc."
2458,4888,1103795,QSEP,"QS Energy, Inc."
2459,4889,1900402,EGRVF,Evergreen Corp
2460,4890,863894,VERU,VERU INC.
2461,4891,1288770,XTGRF,XTRA-GOLD RESOURCES CORP
2462,4892,1857855,FNVTF,Finnovate Acquisition Corp.
2463,4893,1514490,RGT,"ROYCE GLOBAL TRUST, INC."
2464,4894,1489874,GGROU,Golden Growers Cooperative
2465,4895,1999297,DSY,Big Tree Cloud Holdings Ltd
2466,4896,1848861,HAIAF,Healthcare AI Acquisition Corp.
2467,4897,1778016,IMAB,I-Mab
2468,4898,1385632,IAE,Voya Asia Pacific High Dividend Equity Income Fund
2469,4899,1979005,AFJK,"Aimei Health Technology Co., Ltd."
2470,4900,1288795,GLV,Clough Global Dividend & Income Fund
2471,4901,1897087,JUNE,Junee Ltd
2472,4902,1175151,CTSO,Cytosorbents Corp
2473,4903,1491419,LVO,"LiveOne, Inc."
2474,4904,1448597,AUGG,AUGUSTA GOLD CORP.
2475,4905,1086303,HCIL,"Hongchang International Co., Ltd"
2476,4906,1787518,NUKK,Nukkleus Inc.
2477,4907,785557,DLHC,DLH Holdings Corp.
2478,4908,722572,FKWL,FRANKLIN WIRELESS CORP
2479,4909,740806,FMBM,F&M BANK CORP
2480,4910,847411,CXH,MFS INVESTMENT GRADE MUNICIPAL TRUST
2481,4911,914139,PRKR,PARKERVISION INC
2482,4912,1865200,PORT,Southport Acquisition Corp
2483,4913,1841761,GROV,"Grove Collaborative Holdings, Inc."
2484,4914,1447051,TBNK,Territorial Bancorp Inc.
2485,4915,1699382,PMVP,"PMV Pharmaceuticals, Inc."
2486,4916,1453593,XTNT,"Xtant Medical Holdings, Inc."
2487,4917,1835579,IKNA,"Ikena Oncology, Inc."
2488,4918,898171,UWHR,UWHARRIE CAPITAL CORP
2489,4919,1560258,ECOR,"electroCore, Inc."
2490,4920,2035016,RIBB,Ribbon Acquisition Corp.
2491,4921,356590,GTII,"GLOBAL TECH INDUSTRIES GROUP, INC."
2492,4922,1539029,CLSD,"Clearside Biomedical, Inc."
2493,4923,1985337,YYGH,YY Group Holding Ltd.
2494,4924,1756390,AAWH,"Ascend Wellness Holdings, Inc."
2495,4925,1693011,INZY,"Inozyme Pharma, Inc."
2496,4926,881787,CRT,CROSS TIMBERS ROYALTY TRUST
2497,4927,1571329,LRFC,Logan Ridge Finance Corp.
2498,4928,865400,GSVRF,GUANAJUATO SILVER CO LTD
2499,4929,1720580,ACET,"Adicet Bio, Inc."
2500,4930,1001171,BYFC,BROADWAY FINANCIAL CORP \DE\
2501,4931,1782223,PYXS,"Pyxis Oncology, Inc."
2502,4932,1738906,YI,"111, Inc."
2503,4933,1069394,FSI,FLEXIBLE SOLUTIONS INTERNATIONAL INC
2504,4934,1080340,LOAN,"MANHATTAN BRIDGE CAPITAL, INC"
2505,4935,1799448,ALGS,"Aligos Therapeutics, Inc."
2506,4936,1141197,PED,PEDEVCO CORP
2507,4937,1993463,YSXT,"YSX Tech Co., Ltd"
2508,4938,723603,CULP,CULP INC
2509,4939,1971543,MURA,Mural Oncology plc
2510,4940,1829280,FORA,Forian Inc.
2511,4941,1876716,ASCBF,ASPAC II Acquisition Corp.
2512,4942,1645460,CUE,"Cue Biopharma, Inc."
2513,4943,1881592,NSTS,"NSTS Bancorp, Inc."
2514,4944,1815974,ANEB,"Anebulo Pharmaceuticals, Inc."
2515,4945,1509397,LOMLF,Lion One Metals Ltd.
2516,4946,2000230,BRIA,BrilliA Inc
2517,4947,1934642,MDBH,"MDB Capital Holdings, LLC"
2518,4948,828146,LINK,INTERLINK ELECTRONICS INC
2519,4949,1126741,GSIT,GSI TECHNOLOGY INC
2520,4950,1371782,MVO,MV Oil Trust
2521,4951,1091596,AURX,"Nuo Therapeutics, Inc."
2522,4952,1662774,QNCX,"Quince Therapeutics, Inc."
2523,4953,1637715,OKUR,"OnKure Therapeutics, Inc."
2524,4954,1266806,VANI,"Vivani Medical, Inc."
2525,4955,1894951,GBBK,Global Blockchain Acquisition Corp.
2526,4956,2019505,HIT,"Health In Tech, Inc."
2527,4957,1840317,VEEA,VEEA INC.
2528,4958,318833,TISI,TEAM INC
2529,4959,714712,JUVF,JUNIATA VALLEY FINANCIAL CORP
2530,4960,1514597,FURY,FURY GOLD MINES LTD
2531,4961,95552,SUP,SUPERIOR INDUSTRIES INTERNATIONAL INC
2532,4962,1130166,CYCC,"Cyclacel Pharmaceuticals, Inc."
2533,4963,1936224,SRFM,SURF AIR MOBILITY INC.
2534,4964,1865494,IOBT,"IO Biotech, Inc."
2535,4965,1874875,HOUR,"Hour Loop, Inc"
2536,4966,791718,EEA,"EUROPEAN EQUITY FUND, INC / MD"
2537,4967,1472619,LONCF,Loncor Gold Inc.
2538,4968,2023153,HTLM,HomesToLife Ltd
2539,4969,1766140,UNCY,"Unicycive Therapeutics, Inc."
2540,4970,1519469,ANLDF,ANFIELD ENERGY INC.
2541,4971,1370416,WPRT,WESTPORT FUEL SYSTEMS INC.
2542,4972,1275101,BOTJ,BANK OF THE JAMES FINANCIAL GROUP INC
2543,4973,18255,CATO,CATO CORP
2544,4974,1392994,FGB,FIRST TRUST SPECIALTY FINANCE & FINANCIAL OPPORTUNITIES FUND
2545,4975,1503802,KPTI,Karyopharm Therapeutics Inc.
2546,4976,1140410,PNF,PIMCO NEW YORK MUNICIPAL INCOME FUND
2547,4977,1969475,BAYA,Bayview Acquisition Corp
2548,4978,1442836,MRSN,"Mersana Therapeutics, Inc."
2549,4979,1697532,APLT,"Applied Therapeutics, Inc."
2550,4980,1557798,CIIT,"Tianci International, Inc."
2551,4981,1504678,LOOP,"Loop Industries, Inc."
2552,4982,1844419,MAQC,Maquia Capital Acquisition Corp
2553,4983,862861,ALTS,ALT5 Sigma Corp
2554,4984,1274737,XGN,EXAGEN INC.
2555,4985,1887944,SHIM,Shimmick Corp
2556,4986,1006830,CBKM,CONSUMERS BANCORP INC /OH/
2557,4987,1682220,SACH,Sachem Capital Corp.
2558,4988,1360565,WFCF,"Where Food Comes From, Inc."
2559,4989,838131,JMM,Nuveen Multi-Market Income Fund
2560,4990,912061,NHTC,NATURAL HEALTH TRENDS CORP
2561,4991,1819411,GANX,"Gain Therapeutics, Inc."
2562,4992,1120970,LODE,Comstock Inc.
2563,4993,1604868,GRWG,GrowGeneration Corp.
2564,4994,1983550,TDTH,Trident Digital Tech Holdings Ltd
2565,4995,1737339,JG,Aurora Mobile Ltd
2566,4996,1859199,AIRE,reAlpha Tech Corp.
