,Unnamed: 0,cik_str,ticker,title
6917,9347,753308,NEE-PR,NEXTERA ENERGY INC
6918,9348,1863006,VLN-WT,Valens Semiconductor Ltd.
6919,9349,1520504,CTTRF,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V."
6920,9350,910073,FLG-PU,"FLAGSTAR FINANCIAL, INC."
6921,9351,910073,FLG-PA,"FLAGSTAR FINANCIAL, INC."
6922,9352,1793497,SVIX,VS Trust
6923,9353,1793497,UVIX,VS Trust
6924,9354,1034670,ALIV,AUTOLIV INC
6925,9355,2018145,RDACR,Rising Dragon Acquisition Corp.
6926,9356,2018145,RDACU,Rising Dragon Acquisition Corp.
6927,9357,2025065,BSIIW,Black Spade Acquisition II Co
6928,9358,2025065,BSIIU,Black Spade Acquisition II Co
6929,9359,2000762,GMTH,GMTech Inc.
6930,9360,1869974,OCEAW,"Ocean Biomedical, Inc."
6931,9361,1552198,WHFCL,"WhiteHorse Finance, Inc."
6932,9362,1819516,WSUPW,Wheels Up Experience Inc.
6933,9363,1736510,NICHX,Variant Alternative Income Fund
6934,9364,1743905,RVSNW,Rail Vision Ltd.
6935,9365,1841408,DAVEW,Dave Inc./DE
6936,9366,1951378,QLUNF,Qilun Group Inc.
6937,9367,1990145,NUVWQ,Holdco Nuvo Group D.G Ltd.
6938,9368,1909770,KHOB,KHEOBA CORP.
6939,9369,1526125,GDHLF,GDS Holdings Ltd
6940,9370,98222,TDDWW,TIDEWATER INC
6941,9371,98222,TDGMW,TIDEWATER INC
6942,9372,1912461,SKGRU,SK Growth Opportunities Corp
6943,9373,1912461,SKGRW,SK Growth Opportunities Corp
6944,9374,35527,FITBO,FIFTH THIRD BANCORP
6945,9375,35527,FITBP,FIFTH THIRD BANCORP
6946,9376,1865468,KACRF,Kairous Acquisition Corp. Ltd
6947,9377,1865468,KACUF,Kairous Acquisition Corp. Ltd
6948,9378,1865468,KACWF,Kairous Acquisition Corp. Ltd
6949,9379,2024459,CHARR,Charlton Aria Acquisition Corp
6950,9380,2024459,CHARU,Charlton Aria Acquisition Corp
6951,9381,1963088,ATCHW,"AtlasClear Holdings, Inc."
6952,9382,101382,UMBFP,UMB FINANCIAL CORP
6953,9383,1560385,LLYVA,Liberty Media Corp
6954,9384,1560385,LLYVB,Liberty Media Corp
6955,9385,1560385,LLYVK,Liberty Media Corp
6956,9386,1512922,PETVW,"PetVivo Holdings, Inc."
6957,9387,1840780,LOCLW,Local Bounti Corporation/DE
